web_scraper_order,web_scraper_start_url,pagination,marque,prix,adresse,proprietaire
"1767578491-1","https://dakar-auto.com/senegal/location-de-voitures-19","","Hyundai Santa Fe 2017","35 000 F CFA","Thiès,
				Thiès","Par AlfaBusinessGroup BARRY"
"1767578491-2","https://dakar-auto.com/senegal/location-de-voitures-19","","Mitsubishi L200 2018","50 000 F CFA","Thiès,
				Thiès","Par AlfaBusinessGroup BARRY"
"1767578491-3","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford ESCAPE-SE 2013","30 000 F CFA","Guédiawaye,
				Dakar","Par TERANGUA  BII"
"1767578491-4","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford scape 2013","4 500 000 F CFA","Guédiawaye,
				Dakar","Par TERANGUA  BII"
"1767578491-5","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford Edge 2017","45 000 F CFA","Guédiawaye,
				Dakar","Par Mouhamed  Sene"
"1767578491-6","https://dakar-auto.com/senegal/location-de-voitures-19","","Jeep grand-cherokee 2016","60 000 F CFA","Cambérène,
				Dakar","Par Mouhamed  Sene"
"1767578491-7","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford Fusion 2014","30 000 F CFA","Médina,
				Dakar","Par Mouhamed  Sene"
"1767578491-8","https://dakar-auto.com/senegal/location-de-voitures-19","","Hyundai Avante 2015","30 000 F CFA","Parcelles Assainies,
				Dakar","Par Mouhamed  Sene"
"1767578491-9","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford Fusion 2016","30 000 F CFA","Parcelles Assainies,
				Dakar","Par Gallas  FAYE"
"1767578491-10","https://dakar-auto.com/senegal/location-de-voitures-19","","Mazda Cx-5 2016","50 000 F CFA","Ouest Foire,
				Dakar","Par Mouhamed  Sene"
"1767578491-11","https://dakar-auto.com/senegal/location-de-voitures-19","","Citroen Berlingo 2014","20 000 F CFA","Médina,
				Dakar","Par Chasseur  Automobile"
"1767578491-12","https://dakar-auto.com/senegal/location-de-voitures-19","","Peugeot 308 2013","30 000 F CFA","Grand-Yoff,
				Dakar","Par Chic Drive"
"1767578491-13","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford Fiesta 2014","30 000 F CFA","Sangalkam,
				Dakar","Par Medoune Ndiaye"
"1767578491-14","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford Fusion 2015","35 000 F CFA","Cité Keur gorgui,
				Dakar","Par Pape  Cheikh automobile"
"1767578491-15","https://dakar-auto.com/senegal/location-de-voitures-19","","Toyota Rav 4 2020","35 000 F CFA","Mermoz Sacré-Coeur,
				Dakar","Par LocAuto Sénégal Location de voiture"
"1767578491-16","https://dakar-auto.com/senegal/location-de-voitures-19","","Hyundai Elantra 2015","20 000 F CFA","Mermoz Sacré-Coeur,
				Dakar","Par LocAuto Sénégal Location de voiture"
"1767578491-17","https://dakar-auto.com/senegal/location-de-voitures-19","","Hyundai Elantra 2015","20 000 F CFA","Mermoz Sacré-Coeur,
				Dakar","Par LocAuto Sénégal Location de voiture"
"1767578491-18","https://dakar-auto.com/senegal/location-de-voitures-19","","Toyota Verso 2014","25 000 F CFA","Mermoz Sacré-Coeur,
				Dakar","Par LocAuto Sénégal Location de voiture"
"1767578491-19","https://dakar-auto.com/senegal/location-de-voitures-19","","Ford Fusion 2014","30 000 F CFA","Médina,
				Dakar","Par Bakay Samassa"
"1767578491-20","https://dakar-auto.com/senegal/location-de-voitures-19","","Kia Sportage 2015","25 000 F CFA","Almadies,
				Dakar","Par Moustapha SAMBA"
"1767578495-21","https://dakar-auto.com/senegal/location-de-voitures-19","https://dakar-auto.com/senegal/location-de-voitures-19?&page=2","Hyundai Sonata 2014","35 000 F CFA","Parcelles Assainies,
				Dakar","Par DRT Automobile"
"1767578495-22","https://dakar-auto.com/senegal/location-de-voitures-19","https://dakar-auto.com/senegal/location-de-voitures-19?&page=2","Hyundai Sonata 2014","37 000 F CFA","Parcelles Assainies,
				Dakar","Par DRT Automobile"
"1767578495-23","https://dakar-auto.com/senegal/location-de-voitures-19","https://dakar-auto.com/senegal/location-de-voitures-19?&page=2","Hyundai Starex-12-places 2020","50 000 F CFA","Pikine Ouest,
				Dakar","Par David  Niang"
"1767578495-24","https://dakar-auto.com/senegal/location-de-voitures-19","https://dakar-auto.com/senegal/location-de-voitures-19?&page=2","Hyundai Elantra 2013","19 500 F CFA","Nord Foire,
				Dakar","Par Mouhamed Diallo"
"1767578495-25","https://dakar-auto.com/senegal/location-de-voitures-19","https://dakar-auto.com/senegal/location-de-voitures-19?&page=2","Nissan ROGUE-SL-AWD 2015","35 000 F CFA","Thiès,
				Thiès","Par AlfaBusinessGroup BARRY"
